Card Number,Expiration Date,Card Holder Name,Card Type
5567894523129089,08/26,John Doe,master
59012345678901234567890,10/24,Lisa Claire,Not identified
4123456789123,04/26,Martha Clark,visa
347856341908126,03/23,Jane S. Dayton,amex
6011111100007756,02/24,John Doe,discover
3601112345678789,06/24,Lara Wayne,Not identified
5167894523129089,08/25,Mark H. William,master
4123456789123999,03/23,Jane Dayton,visa
377856341908126,03/25,Martha Clark,amex
5367894523129089,08/25,John Doe,master
6011*890HJrt6789,05/25,Jill Davis,discover
,08/26,John Doe,Not identified
